artist,artist_id,album,track,minutes,release_date,popularity
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Rock do Diabo - Ao Vivo,4.254,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)","Let Me Sing, Let Me Sing - Ao Vivo",3.014883333333333,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Maluco Beleza - Ao Vivo,3.0886666666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)","Rock das ""Aranha"" - Ao Vivo",4.836,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",As Aventuras de Raul Seixas na Cidade de Thor - Ao Vivo,4.3631,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Como Vovó Já Dizia - Ao Vivo,4.062,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Metamorfose Ambulante - Ao Vivo,4.896,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Ouro de Tolo - Ao Vivo,3.7122166666666665,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Segredo da Luz - Ao Vivo,3.5602666666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Slippin' and Slidin' (Não Fosse o Cabral) [Ao Vivo],1.8028333333333333,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Babilina - Ao Vivo,1.6687333333333334,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",So Glad You're Mine - Ao Vivo,4.372216666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",As Minas do Rei Salomão - Ao Vivo,3.0267166666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Sociedade Alternativa - Ao Vivo,5.206483333333333,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",D. D. I.(Discagem Direta Interestelar) [Ao Vivo],2.12075,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Coração Noturno - Ao Vivo,4.407916666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Água Viva - Ao Vivo,2.4228833333333335,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Aluga-Se - Ao Vivo,2.8268833333333334,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Se o Rádio Não Toca - Ao Vivo,3.792,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"As Melhores do Maluco Beleza, Vol. 2 (Ao Vivo)",Aquela Coisa - Ao Vivo,2.7660666666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Rock do Diabo - Ao Vivo,2.7826666666666666,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Aluga-Se - Ao Vivo,2.8268833333333334,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Como Vovó Já Dizia - Ao Vivo,4.370433333333334,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Abre-Te Sésamo - Ao Vivo,3.8493333333333335,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",As Aventuras de Raul Seixas na Cidade de Thor - Ao Vivo,3.16355,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",O Trem das Sete - Ao Vivo,3.756,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Blue Suede Shoes - Ao Vivo,1.9042166666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Ready Teddy - Ao Vivo,1.5864333333333334,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Maluco Beleza - Ao Vivo,3.0886666666666667,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Al Capone - Ao Vivo,2.6973333333333334,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Rock das Aranha - Ao Vivo,2.957333333333333,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,"Isso Aqui Não É Woodstock, Mas um Dia Pode Ser (Ao Vivo)",Sociedade Alternativa - Ao Vivo,5.2264333333333335,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,Eu Não Sou Hippie (Ao Vivo),Se o Rádio Não Toca - Ao Vivo,3.082,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,Eu Não Sou Hippie (Ao Vivo),Ouro de Tolo - Ao Vivo,3.7122166666666665,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,Eu Não Sou Hippie (Ao Vivo),O Trem das Sete - Ao Vivo,3.70155,N/A,0
Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,Eu Não Sou Hippie (Ao Vivo),Cachorro Urubu - Ao Vivo,4.068883333333333,N/A,0
